tau,gamma=0.5,gamma=1,gamma=1.5,gamma=2
0.1,0.1530010130632779,0.0058323269888461,1.4931046471966115e-05,1.0533265307342833e-12
0.0694444444444444,0.1722892104780242,0.0057210341291469,0.0002196642145086,6.849944425790178e-06
0.0485436893203883,0.1194359450023489,0.0064694064671294,0.000231137777222,9.504555306137793e-06
0.0335570469798657,0.0772379830821141,0.0058848593473088,0.0002381237608115,9.717767999809376e-06
0.0233644859813084,0.0914987507117677,0.0032375434478079,0.0002048265069523,8.696234636017698e-06
0.0162337662337662,0.1080449159539053,0.0029781846263571,0.000111589579494,6.37455147125431e-06
0.0112866817155756,0.0984445568021519,0.0033471445343702,9.371772436136738e-05,3.4051331112271155e-06
0.0078492935635792,0.0751206463571432,0.0030090613661128,8.730749575730119e-05,2.861837229259619e-06
0.0054585152838427,0.0501200328152061,0.0018528104569537,7.845320154757725e-05,2.468350501367379e-06
0.003793626707132,0.0186030726010901,0.0007447160073558,3.0297747484692515e-05,1.2482304937420304e-06
0.0026371308016877,0.0061658696014893,0.00028777171402,1.3874297806285205e-05,4.772186799354049e-07
0.00183284457478,0.0025987334744205,9.858426598763744e-05,3.4898696613129653e-06,1.3724944301418905e-07
0.0012742099898063,8.504019164137727e-05,3.615110720020447e-06,1.779924079800663e-07,6.5688625016802544e-09
0.0008858965272856,6.44774904878477e-06,8.143207651058691e-07,9.64554021008636e-09,1.1269922039293601e-09
0.0006158393890873,9.432718882903048e-08,4.4065548574549615e-08,2.908702565420722e-09,2.0611886816911328e-10
0.0004281188457915,3.2448868061378534e-08,3.2097448786506266e-08,1.475605601053391e-09,1.475605601053391e-09
0.0002976367640931,1.6980533963327705e-07,1.6980533963327705e-07,1.5931734913283032e-07,1.5931734913283032e-07
0.0002069108214359,6.209411852424957e-07,6.209411852424957e-07,7.418430841337147e-07,9.19398469840099e-07
0.0001438434982738,1.3008021770513995e-05,1.3008021770513995e-05,1.3008021770513995e-05,1.3008021770513995e-05
0.0001,5.443139235703155e-05,5.443139235703155e-05,5.443139235703155e-05,5.443139235703155e-05
