tau,CN H1L2 relative error,leapfrog H1L2 relative error,DSTLP ell=4 H1L2 relative error,DSTLP ell=4 - CN H1L2 relative error,DSTLP ell=8 H1L2 relative error,DSTLP ell=8 - CN H1L2 relative error,O(tau^2)
0.1,1.140761772327778,3.0904810012483723e+41,1.141653404829039,0.0158252813118984,1.140623722166748,0.0086928875076921,1.0000000000000002
0.0714285714285714,1.0205047261044466,1.109179401461236e+56,1.0233523563995006,0.0142024463185939,1.0214265053402898,0.0073462335978975,0.5102040816326526
0.0476190476190476,0.7292183398834245,2.047167567842125e+79,0.7294923115397083,0.006505904895632,0.7288075938404492,0.0032735291969352,0.22675736961451232
0.0333333333333333,0.4374008286384542,2.0675768754841683e+106,0.4368063897329254,0.0055066664308924,0.4370760309043135,0.0017569784655285,0.11111111111111087
0.0232558139534883,0.2331263115343979,1.968124095178714e+141,0.2326135992583491,0.0051211783749673,0.2330188923961251,0.0008806213384895,0.0540832882639261
0.0161290322580645,0.1184030636641408,inf,0.1182169513999499,0.0031526567047485,0.1183860404712596,0.0002441531965513,0.02601456815816852
0.0112359550561797,0.0601105416977922,inf,0.0600752307636928,0.0010928930500477,0.0601095016932948,2.7964177473289332e-05,0.012624668602449016
0.0078740157480314,0.0308707337774727,,0.0308678846048059,0.0001295513481006,0.0308707196499033,7.199170493607375e-07,0.00620001240002465
0.0054644808743169,0.0156312131990328,,0.0156310768455076,9.498522528474512e-06,0.0156312131429488,5.865756535641386e-09,0.002986055122577519
0.0037878787878787,0.0079457483187783,,0.007945743314153,7.484514583427054e-07,0.0079457483187163,2.7469182327072904e-11,0.0014348025711661409
0.0026385224274406,0.0041111744889404,,0.0041111744088665,3.1838289519626695e-08,0.0041111744892561,1.1215957146076497e-12,0.0006961800600107038
0.0018315018315018,0.0021485893500842,,0.0021485892693848,9.190805903570253e-08,0.0021485893504237,1.747852030008213e-12,0.00033543989587944483
0.0012738853503184,0.0011732639893547,,0.0011732639366571,8.318748993060745e-07,0.0011732639890764,5.204589462164936e-11,0.00016227838857558324
0.0008857395925597,0.0007012011684032,4.3240579179535374e+91,0.0007012080067847,3.253656934181008e-06,0.0007012011681471,6.941059830897103e-10,7.845346258278233e-05
0.000615763546798,0.0005527733908483,0.0005754880844078,0.0005527959495813,5.110071500754596e-06,0.0005527733901749,2.259512582255409e-09,3.791647455652527e-05
0.0004280821917808,0.0005280813577041,0.0005511754162897,0.0005280919059692,3.6069740058620136e-06,0.0005280813576019,2.5075430960778354e-09,1.8325436291985363e-05
0.000297619047619,0.0005288304782162,0.0005426819630968,0.000528830420646,1.5941887375982776e-06,0.0005288304784103,7.012819092619423e-10,8.85770975056406e-06
0.0002069108214359,0.0005319191656065,0.0005392519747472,0.0005319681739043,7.447494737786203e-06,0.0005319191652889,4.854583683723674e-09,4.2812088027278894e-06
0.0001438434982738,0.0005340524712651,0.0005377362419843,0.0005342673784212,1.5296867543802053e-05,0.0005340524710211,1.1155028384911344e-08,2.0690951995644707e-06
0.0001,0.0005352273746948,0.0005370418686837,0.0005358280166986,2.547203632189096e-05,0.0005352273743109,1.9351439491656188e-08,1e-06
